INFO  14:07:21,540 | james.pop3server | POP3 Service bound to: 0.0.0.0:110
INFO  18:03:05,653 | james.pop3server | Id='-161043272' User='' Connection established from 127.0.0.1
INFO  18:03:05,685 | james.pop3server | Id='-161043272' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  18:13:12,954 | james.pop3server | Id='1536345011' User='' Connection established from 127.0.0.1
INFO  18:13:12,994 | james.pop3server | Id='1536345011' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  18:23:00,611 | james.pop3server | Id='-1821266394' User='' Connection established from 127.0.0.1
INFO  18:23:00,660 | james.pop3server | Id='-1821266394' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  18:32:59,384 | james.pop3server | Id='639068327' User='' Connection established from 127.0.0.1
INFO  18:32:59,416 | james.pop3server | Id='639068327' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  18:42:42,560 | james.pop3server | Id='1826839763' User='' Connection established from 127.0.0.1
INFO  18:42:42,588 | james.pop3server | Id='1826839763' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  18:52:55,448 | james.pop3server | Id='1897249331' User='' Connection established from 127.0.0.1
INFO  18:52:55,475 | james.pop3server | Id='1897249331' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  19:03:22,603 | james.pop3server | Id='-1205097926' User='' Connection established from 127.0.0.1
INFO  19:03:22,639 | james.pop3server | Id='-1205097926' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  19:13:10,885 | james.pop3server | Id='-1730667944' User='' Connection established from 127.0.0.1
INFO  19:13:10,906 | james.pop3server | Id='-1730667944' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  19:23:38,411 | james.pop3server | Id='907041293' User='' Connection established from 127.0.0.1
INFO  19:23:38,434 | james.pop3server | Id='907041293' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  19:33:58,363 | james.pop3server | Id='-340329134' User='' Connection established from 127.0.0.1
INFO  19:33:58,388 | james.pop3server | Id='-340329134' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  19:44:10,907 | james.pop3server | Id='-2057169941' User='' Connection established from 127.0.0.1
INFO  19:44:10,929 | james.pop3server | Id='-2057169941' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  19:54:09,664 | james.pop3server | Id='-2092293713' User='' Connection established from 127.0.0.1
INFO  19:54:09,704 | james.pop3server | Id='-2092293713' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  20:03:43,381 | james.pop3server | Id='2056109854' User='' Connection established from 127.0.0.1
INFO  20:03:43,401 | james.pop3server | Id='2056109854' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  20:13:38,038 | james.pop3server | Id='674587703' User='' Connection established from 127.0.0.1
INFO  20:13:38,079 | james.pop3server | Id='674587703' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  20:23:12,421 | james.pop3server | Id='667719182' User='' Connection established from 127.0.0.1
INFO  20:23:12,440 | james.pop3server | Id='667719182' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  20:32:42,839 | james.pop3server | Id='-675360716' User='' Connection established from 127.0.0.1
INFO  20:32:42,869 | james.pop3server | Id='-675360716' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  22:01:54,678 | james.pop3server | Id='-537232573' User='' Connection established from 127.0.0.1
INFO  22:01:54,760 | james.pop3server | Id='-537232573' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  22:12:23,007 | james.pop3server | Id='-1282592713' User='' Connection established from 127.0.0.1
INFO  22:12:23,064 | james.pop3server | Id='-1282592713' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  22:22:24,182 | james.pop3server | Id='-204244501' User='' Connection established from 127.0.0.1
INFO  22:22:24,232 | james.pop3server | Id='-204244501' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  22:32:41,595 | james.pop3server | Id='-1439060414' User='' Connection established from 127.0.0.1
INFO  22:32:41,652 | james.pop3server | Id='-1439060414' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  22:42:47,184 | james.pop3server | Id='955008183' User='' Connection established from 127.0.0.1
INFO  22:42:47,260 | james.pop3server | Id='955008183' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  22:52:29,328 | james.pop3server | Id='-793043873' User='' Connection established from 127.0.0.1
INFO  22:52:29,385 | james.pop3server | Id='-793043873' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  23:02:26,404 | james.pop3server | Id='-854158286' User='' Connection established from 127.0.0.1
INFO  23:02:26,756 | james.pop3server | Id='-854158286' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  23:12:45,350 | james.pop3server | Id='1524842667' User='' Connection established from 127.0.0.1
INFO  23:12:45,417 | james.pop3server | Id='1524842667' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  23:22:33,412 | james.pop3server | Id='-1778438209' User='' Connection established from 127.0.0.1
INFO  23:22:33,486 | james.pop3server | Id='-1778438209' User='admin@glx.info' Connection closed for 127.0.0.1
INFO  23:32:39,828 | james.pop3server | Id='1879304896' User='' Connection established from 127.0.0.1
INFO  23:32:39,910 | james.pop3server | Id='1879304896' User='admin@glx.info' Connection closed for 127.0.0.1
